red_zone,dist_frm_clg,residence,transport,comfort_rating
Yes,320,Hostel,Personal,2
No,3,Home,College,1
No,90,Hostel,Personal,5
No,10,Home,College,3
No,70,Hostel,Personal,1
No,40,Hostel,College,1
No,22,Home,College,3
No,75,Hostel,College,1
No,8,Home,Personal,1
Yes,4,Home,Personal,1
No,2,Home,Personal,1
Yes,10,Home,College,1
Yes,65,Home,College,4
Yes,25,Home,College,1
No,8,Home,College,2
No,24,Home,College,3
No,21,Home,College,3
No,3,Home,College,4
No,8,Home,Personal,1
No,150,Hostel,Personal,1
No,6,Home,Personal,3
No,280,Hostel,College,1
No,60,Hostel,College,1
No,10,Home,College,1
Yes,12,Home,Public,1
Yes,45,Home,Public,1
No,12,Home,College,2
No,5,Home,College,3
No,48,Home,College,2
No,100,Hostel,College,5
No,50,Home,Personal,1
Yes,40,Home,Public,1
No,28,Home,College,5
No,8,Home,College,1
No,65,Hostel,College,3
Yes,47,Hostel,Personal,2
Yes,60,Home,Public,1
No,8,Home,College,5
No,20,Home,Public,2
No,3,Home,College,3
Yes,6,Home,College,1
No,25,Home,College,3
Yes,22,Home,College,1
No,99,Hostel,College,1
No,5,Home,Personal,3
No,110,Hostel,College,3
No,8,Home,Personal,1
No,5.5,Home,Personal,2
No,3,Home,Personal,2
Yes,8,Home,College,5
No,100,Hostel,College,1
No,8,Home,College,3
Yes,150,Hostel,College,1
Yes,12,Home,College,1
No,1.5,Home,College,1
No,70,Hostel,College,3
Yes,300,PG,Personal,1
No,70,Hostel,Personal,4
No,5,Home,College,1
Yes,9,Home,College,5
No,18,Home,College,2
Yes,25,Home,College,1
No,1,Home,Personal,3
Yes,300,Hostel,College,1
No,5,Home,College,3
No,70,Hostel,College,1
Yes,98,Hostel,College,2
No,23,Home,College,2
No,50,PG,Personal,1
No,75,PG,College,1
Yes,19,Home,College,1
No,2,Home,College,3
No,6,Home,College,1
No,54,Hostel,College,1
Yes,140,Hostel,Personal,1
Yes,14,Home,Public,1
Yes,20,Hostel,College,1
Yes,5,Home,College,1
Yes,78,Home,College,1
No,28,Home,College,1
Yes,95,Hostel,College,1
No,160,Home,Personal,1
Yes,22,Home,College,1
No,390,Hostel,Public,1
No,40,Home,Public,3
Yes,55,Home,College,1
No,4,Home,Personal,2
No,12,Home,College,4
No,7.4,Home,College,1
No,100,PG,College,1
No,4,Home,Personal,2
No,7,Home,College,1
No,80,PG,Personal,2
Yes,95,Room,Public,2
No,170,Hostel,Public,1
No,5,Home,Public,2
Yes,8,Home,Public,2
Yes,7,Home,Personal,1
No,30,Hostel,College,2
No,23,Home,College,2
No,4,Home,Public,1
Yes,45,Hostel,College,3
Yes,8,Home,College,1
Yes,3,Hostel,College,1
No,8,Home,College,2
No,5,Home,College,3
Yes,70,Hostel,Personal,3
Yes,210,Hostel,Personal,1
Yes,350,Hostel,Public,1
Yes,39,Home,Public,3
No,4.6,Home,College,3
No,1.5,Home,Personal,1
No,30,Home,College,1
No,100,Home,College,3
No,25,Home,College,3
Yes,8,Home,Personal,1
No,22,Home,College,1
Yes,30,Home,College,1
Yes,5,Home,College,1
Yes,130,Hostel,College,1
No,6,Home,Personal,1
No,7,Home,College,4
No,250,Hostel,Public,1
No,20,Hostel,Public,2
No,25,Home,College,1
Yes,10,Home,Public,1
No,60,Home,Public,1
No,25,Home,College,1
No,160,Hostel,Public,1
No,25,Home,College,3
No,4,Home,College,1
No,20,PG,College,5
No,6,Home,Personal,1
No,2,Home,College,3
Yes,26,Home,College,4
No,5,Home,College,2
Yes,40,Home,College,1
No,7,Home,Personal,1
No,20,Home,Personal,3
Yes,7,Home,College,1
Yes,110,Hostel,Public,4
Yes,15,Home,Personal,2
Yes,5,Home,College,1
No,40,Hostel,College,1
No,6,Home,College,1
No,5,Home,Personal,1
No,7,Home,Personal,3
No,30,Home,College,1
No,75,Hostel,College,3
Yes,3,Home,College,2
No,60,Hostel,Public,3
No,220,Hostel,Public,1
Yes,3.7,Home,College,1
No,90,Home,College,3
No,100,Hostel,Personal,1
No,4,Home,College,2
Yes,8,Home,College,1
No,22,Home,College,3
No,60,Home,Public,1
Yes,10,Home,College,3
